Date,Open,High,Low,Close,Volume
2020-01-02,157.4,160.95,157.4,160.75,0
2020-01-03,159.5,159.5,156.25,157.2,0
2020-01-07,157.05,159.75,156.95,158.55,0
2020-01-08,157.2,159.65,155.85,159.5,0
2020-01-09,161.0,161.35,156.4,156.8,0
2020-01-10,157.4,157.45,155.6,156.05,0
2020-01-13,156.25,156.95,154.75,155.8,0
2020-01-14,155.8,156.8,153.65,156.5,0
2020-01-15,156.3,156.55,154.9,155.9,0
2020-01-16,155.8,157.5,155.4,157.15,0
2020-01-17,158.1,160.65,158.1,159.45,0
2020-01-20,159.2,161.15,158.6,160.4,0
2020-01-21,160.0,161.65,158.0,161.45,0
2020-01-22,162.2,163.4,157.85,158.1,0
2020-01-23,157.5,157.8,154.35,155.2,0
2020-01-24,156.65,158.75,156.55,156.6,0
2020-01-27,152.65,153.15,149.6,149.9,0
2020-01-28,150.45,153.3,148.9,152.7,0
2020-01-29,153.8,154.4,152.35,153.0,0
2020-01-30,161.0,166.6,158.65,163.9,0
2020-01-31,166.05,169.4,163.9,165.3,0
2020-02-03,165.4,167.2,163.85,166.5,0
2020-02-04,167.6,171.4,167.3,171.4,0
2020-02-05,171.8,174.1,170.8,172.75,0
2020-02-06,174.25,175.1,169.75,170.45,0
2020-02-07,170.4,171.2,169.5,170.45,0
2020-02-10,170.25,173.2,169.4,172.9,0
2020-02-11,174.45,175.05,171.95,173.1,0
2020-02-12,173.25,174.95,172.8,173.25,0
2020-02-13,172.9,173.4,170.05,172.8,0
2020-02-14,173.0,174.45,172.85,173.35,0
2020-02-17,173.35,174.45,172.9,173.4,0
2020-02-18,172.65,173.55,170.9,172.3,0
2020-02-19,172.9,173.2,171.05,171.7,0
2020-02-20,171.75,173.85,171.3,173.45,0
2020-02-21,172.35,173.25,169.7,170.7,0
2020-02-24,165.75,166.25,161.9,162.25,0
2020-02-25,162.95,164.05,158.45,158.75,0
2020-02-26,157.95,160.75,154.05,160.2,0
2020-02-27,157.3,157.5,150.25,152.75,0
2020-02-28,147.0,150.6,146.15,148.8,0
2020-03-02,153.55,153.65,145.15,149.15,0
2020-03-03,151.8,155.25,150.85,151.75,0
2020-03-04,151.95,152.55,148.65,149.2,0
2020-03-05,150.8,151.55,143.65,145.3,0
2020-03-06,141.2,142.9,138.65,139.6,0
2020-03-09,131.6,134.8,127.6,130.85,0
2020-03-10,132.1,137.25,129.9,130.6,0
2020-03-11,132.25,133.8,128.75,129.5,0
2020-03-12,121.3,123.6,115.85,117.8,0
